Numbers indicate position played for that player on that date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 means they did not play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 means they were named as a replacement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,18/08/2018,26/08/2018,30/08/2018,7/09/2018,16/09/2018,22/09/2018,28/09/2018,4/10/2018,10/10/2018,14/10/2018,20/10/2018,27/10/2018,9/08/2019,15/08/2019,24/08/2019,31/08/2019,8/09/2019,14/09/2019,22/09/2019,27/09/2019,5/10/2019,11/10/2019,19/10/2019,12/09/2020,20/09/2020,27/09/2020,2/10/2020,10/10/2020,17/10/2020,24/10/2020,31/10/2020,7/11/2020,15/11/2020,21/11/2020,28/11/2020
"Abel, Robbie",0,2,2,2,2,2,16,2,16,2,2,2,2,0,2,2,16,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
"Adams, Jarred",1,16,16,16,0,16,0,0,16,16,16,16,0,0,16,16,16,1,0,16,16,16,16,16,16,1,1,16,16,16,16,16,1,1,16
"Apisai, Leni",0,0,0,0,0,0,0,0,0,0,0,0,16,2,16,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,0,2,2
"Choat, Adrian",0,0,0,0,0,0,16,0,7,0,7,7,16,0,0,0,16,16,6,7,7,7,7,7,7,6,6,6,6,6,6,0,0,7,6
"Clarke, Caleb",0,0,16,0,0,0,14,16,16,16,16,16,11,11,14,11,14,14,14,11,14,0,14,11,11,0,0,0,0,0,0,0,0,0,0
"Cobb, Joel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,14,0,0
"Dabek, Aleks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalzell, Hamish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,5,5,4,5,5,16
"Dunshea, Lyndon",0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
"Ekuasi, Vaiolini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faiane, TJ",12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,0,0,0,0
"Fatialofa, Michael",0,0,0,0,0,0,0,4,5,16,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fepuleai, Marco",3,0,16,16,16,16,16,16,3,16,16,16,16,16,0,0,0,16,16,16,16,16,16,0,0,0,0,16,16,16,16,16,16,0,0
"Finau, Inga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"Fukofuka, Leon",9,9,9,16,16,16,16,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Funaki, Taufa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,16,0,16
"Gibson, Blake",7,7,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,7,7,0,0,0,0,16,16,7,7,7,7,7,7,0,7,0,0
"Hallem Ewes, Liam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,16,16,5,16,0,0
"Hickey, Simon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,10,16,16,16,16,10,16,16,16
"Hodgmen, Alex",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,16,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Ioane, Akira",8,8,8,8,8,8,8,8,16,8,8,8,0,0,0,16,8,8,8,8,16,16,16,6,6,0,0,0,0,8,0,0,0,0,0
"Ioane, Rieko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0
"Jones, Niko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,16,7,16,16,7
"Kalapu, Felix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"Kirkpatrick, Dan",16,16,0,0,0,0,0,0,16,16,0,16,0,0,16,16,16,16,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
"Koroi, Taniela",16,16,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lam, AJ",0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,0,14,16,14,14,14,14,14,14,14,14,14,0,14,14
"Lane, Jamie",4,0,0,0,0,0,0,16,0,0,0,0,5,4,4,4,16,16,16,4,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Lay, James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,1,1,1,1,1,16,0,1
"Lea, Michael",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lemalu, Faatungu",0,4,4,16,4,4,16,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leuila, DAngelo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,10,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Liaana, Desma",0,0,0,0,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lindenmuth, Ezi",0,0,0,0,16,1,16,16,1,0,0,0,16,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manu, Tumua",13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,13,13,13,13,16,13,13,16,16,13,13,13,13,13,13,0,13,13,13
"Nanai, Melani",14,14,14,14,14,14,0,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olmstead, Evan",16,16,16,6,6,6,4,6,16,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paea, Fatongia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"Papalii, Dalton",6,6,6,16,7,7,7,7,0,7,0,0,0,16,6,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"Peita, Terrell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0
"Plummer, Harry",10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,16,16,10,10,10,10,12,10,10,10
"Prattley, Sam",16,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rayasi, Salesi",11,11,11,11,0,11,11,11,11,11,11,11,15,15,15,15,11,11,11,16,11,11,11,0,0,11,11,11,11,0,11,11,11,11,11
"Reidler Kapa, Waimana",0,0,0,0,0,0,16,0,6,6,0,0,6,6,16,6,0,0,16,6,8,8,8,0,0,8,8,8,8,0,0,0,0,0,0
"Renata, Marcel",0,3,3,3,3,3,3,3,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,16,16,3,3,3,3,0,0,16,16
"Royal, Joe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"Ruru, Jonathan",16,16,16,9,9,9,9,16,9,9,9,9,9,9,9,9,9,16,9,16,9,9,9,9,9,16,16,16,9,9,9,9,9,9,9
"Schwenke, Lief",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scraffton, Scott",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,5,4,4,4,4,4,4,4,4,0,4,4,4
"Seu, Taleni",0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sosene, Mike",2,16,16,16,16,16,2,16,2,16,16,16,0,0,0,0,0,16,16,0,0,0,0,16,16,16,16,0,16,16,0,0,2,16,16
"Sotutu, Hoskins",16,16,16,0,16,16,6,16,8,16,16,16,8,8,8,8,6,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
"Sullivan, Zarn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,15,15,15,15,15,15,15
"Taavao, Angus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,3,3,0,0,0,0,3,3,3,3
"Talataina Mu, William",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0
"Telea, Tanielu",0,0,0,16,16,16,12,0,0,0,0,0,13,13,13,13,16,16,16,14,13,0,0,0,0,0,0,16,16,11,16,13,12,12,12
"Trainor, Jordan",15,15,15,15,15,15,0,16,15,15,15,15,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,16,16
"Tufuga, Presley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,8,6,16
"Tuipolotu, Patrick",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"Tuipolotu, Sione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,16,8,8,0,8,8
"Tusitala, Danny",0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,9,16,9,16,16,16,16,16,0,0,0,16,16,16,16,0,16,0
"Tuungafasi, Ofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
"Umaga, Jacob",16,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vikena, Soane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,2,0,0,0
"Whetton, Jack",5,5,5,5,5,5,5,0,0,0,0,0,4,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,0,0,0,0,16,5
